comapany,skills,more_info
Peopleplease Consulting,"Python, Python, Scripting",https://www.timesjobs.com/job-detail/python-developer-python-python-full-stack-client-of-peopleplease-mumbai-1-to-5-yrs-jobid-y1n0aQVsGtFzpSvf__PLUS__uAgZw==&source=srp
tataatsu idealabs pvt. ltd.,"oop, python, linux, team, player, mongodb, sql",https://www.timesjobs.com/job-detail/python-developer-tataatsu-idealabs-pvt-ltd-bengaluru-bangalore-1-to-3-yrs-jobid-S5XtOGDDD0RzpSvf__PLUS__uAgZw==&source=srp
Parahit Technologies Limited,"python, django, json, html, ajax, javascript",https://www.timesjobs.com/job-detail/python-developer-parahit-technologies-limited-delhi-0-to-3-yrs-jobid-j6NKVNIrw0hzpSvf__PLUS__uAgZw==&source=srp
LAKSH HUMAN RESOURCE,"rest, python, django, git",https://www.timesjobs.com/job-detail/python-developer-laksh-human-resource-mumbai-1-to-3-yrs-jobid-ak3vdW639qBzpSvf__PLUS__uAgZw==&source=srp
zenga tv,"python, django, html5, javascript",https://www.timesjobs.com/job-detail/python-developer-zenga-tv-gurgaon-2-to-5-yrs-jobid-e__PLUS__ZLUFXUI59zpSvf__PLUS__uAgZw==&source=srp
SEVEN CONSULTANCY,"rest, python, storage",https://www.timesjobs.com/job-detail/python-developer-seven-consultancy-navi-mumbai-mumbai-thane-1-to-3-yrs-jobid-deP__SLASH__U9VqSS9zpSvf__PLUS__uAgZw==&source=srp
Analytics Vidhya,"python, css, html5, html, ajax, javascript",https://www.timesjobs.com/job-detail/python-developer-analytics-vidhya-gurgaon-5-to-8-yrs-jobid-di4__SLASH__jinpKOJzpSvf__PLUS__uAgZw==&source=srp
PradeepIT,"python, development, reactjs, integration, cloud, technologies, database, management, design, patterns, postgresql, mysql, api, mongodb",https://www.timesjobs.com/job-detail/python-developer-pradeepit-bengaluru-bangalore-4-to-7-yrs-jobid-nPD7rFHWKLNzpSvf__PLUS__uAgZw==&source=srp
SEVEN CONSULTANCY,"python, mvc, sql",https://www.timesjobs.com/job-detail/python-developer-seven-consultancy-navi-mumbai-mumbai-4-to-7-yrs-jobid-VJ3GBkmUwLVzpSvf__PLUS__uAgZw==&source=srp
acquiscent technologies pvt. ltd.,"python, machine, learning, javascript, nosql, java, django, written, communication, linux, web, application, server, mysql",https://www.timesjobs.com/job-detail/python-developer-acquiscent-technologies-pvt-ltd-pune-1-to-5-yrs-jobid-ggWz1MWc4X9zpSvf__PLUS__uAgZw==&source=srp
Veeva Systems,"css, database, postgresql, debugging, html, mysql, rest, san, python, javascript, django, forms",https://www.timesjobs.com/job-detail/python-engineer-veeva-systems-spain-3-to-6-yrs-jobid-JjfyPpMQ4zxzpSvf__PLUS__uAgZw==&source=srp
Veeva Systems,"css, database, postgresql, debugging, html, mysql, rest, san, python, javascript, django, forms",https://www.timesjobs.com/job-detail/python-engineer-veeva-systems-spain-3-to-6-yrs-jobid-YRYs0O5NdihzpSvf__PLUS__uAgZw==&source=srp
Veeva Systems,"css, database, postgresql, debugging, html, mysql, rest, san, python, javascript, django, forms",https://www.timesjobs.com/job-detail/python-engineer-veeva-systems-spain-3-to-6-yrs-jobid-b__PLUS__huiqBOtzhzpSvf__PLUS__uAgZw==&source=srp
xonier technologies pvt ltd,"python, django, testing, tools, debugging, storage",https://www.timesjobs.com/job-detail/python-developer-xonier-technologies-pvt-ltd-noida-greater-noida-2-to-5-yrs-jobid-zOHQ8Tw7IgRzpSvf__PLUS__uAgZw==&source=srp
day1 technologies,"rest, python, django, git, postgresql, sql, docker",https://www.timesjobs.com/job-detail/python-developer-day1-technologies-bengaluru-bangalore-2-to-3-yrs-jobid-5yTMsjn5vkJzpSvf__PLUS__uAgZw==&source=srp
INFINITY GROUP,"python, css, django, html, bootstrap",https://www.timesjobs.com/job-detail/python-developer-infinity-group-noida-greater-noida-2-to-5-yrs-jobid-WKzksjq__PLUS__GXxzpSvf__PLUS__uAgZw==&source=srp
